token,count,trait,canonical,how,examples
短銳尖,4,,,UNMAPPED,千張樹|水桐樹|旱蓮
石灰岩生長,4,,,UNMAPPED,刺葉櫟|高山櫟|清水金絲桃
硬芒,4,,,UNMAPPED,刺葉冬青|姆尾冬青|苗栗冬青
碗狀殼斗,4,,,UNMAPPED,直幹相思|長果青剛|稠子
碧藍色果實,4,,,UNMAPPED,毛雞屎樹|密毛粗葉木|斜基粗葉木
筍可食用,4,,,UNMAPPED,巨竹|印度麻竹|桂竹
筒狀花,4,,,UNMAPPED,落濟|夕霧花|蝴蝶之舞
節毛,4,,,UNMAPPED,山埔鹽|山鹽菁|埔鹽
粉紅色花朵,4,,,UNMAPPED,木藍|珊瑚塔|美洲含羞草
粒狀腺體,4,,,UNMAPPED,扛香藤|桶鉤藤|鉤藤
紅木材,4,,,UNMAPPED,大頭茶|木荷|荷樹
紅漿果,4,,,UNMAPPED,大花假虎刺|狗骨柴|阿拉伯咖啡
紅色漿果,4,,,UNMAPPED,大葉寒莓|西印度櫻桃|昔來薩樹
紅褐色枝條,4,,,UNMAPPED,七日暈|竹葉楠|紅心仔
紫色斑點,4,,,UNMAPPED,白桐|梧桐|華東泡桐
細絨毛,4,,,UNMAPPED,煙斗石櫟|煙斗柯|天章
細銳尖齒緣,4,,,UNMAPPED,香梅|梅|梅仔
綠肥,4,,,UNMAPPED,披針葉豬屎豆|長葉豬屎豆|營多山螞蝗
線形葉形,4,,,UNMAPPED,拇木|威氏粗榧|臺灣粗榧
線狀披針形葉片,4,,,UNMAPPED,小柳|柳|楊柳
縱裂樹皮,4,,,UNMAPPED,百日紅|癢癢花|鱗苞栲
總狀圓錐花序,4,,,UNMAPPED,田代氏石斑木|尖梅花|金露花
總狀花序/圓錐花序,4,,,UNMAPPED,臺灣山桂花|臺灣山桂花|黃鐘花
總苞包被堅果,4,,,UNMAPPED,小紅栲|米櫧|長尾尖櫧
纏勒植物,4,,,UNMAPPED,山榕|赤榕|雀榕
纏繞性莖,4,,,UNMAPPED,煙斗花藤|平原菟絲子|盒果藤
纖維質樹皮,4,,,UNMAPPED,味噌草|鹿仔樹|構樹
缺乏生殖結構,4,,,UNMAPPED,粗枝軟骨藻|琉球軟骨藻|哈維圈扇藻
缺乏詳細形態描述資料,4,,,UNMAPPED,水柳|大葉石櫟|小葉石薯
羽狀側脈,4,,,UNMAPPED,九丁樹|大葉九重吹|刺桐
耐乾旱,4,,,UNMAPPED,刺葉櫟|粉葛|高山櫟
耐朽木材,4,,,UNMAPPED,山漆|麻栗|賊仔樹
耐潮,4,,,UNMAPPED,青珊瑚|截萼黃槿|綠珊瑚
耐陰,4,,,UNMAPPED,山杉|刺楠|柄葉筆筒樹
耐風,4,,,UNMAPPED,紅楠|截萼黃槿|鼻涕楠
耐風性,4,,,UNMAPPED,蓮葉桐|臘樹|磯菊
聚繖狀總狀花序,4,,,UNMAPPED,小葉黃鱔藤|勾兒茶|寒莓
肉質副萼,4,leaf_texture,succulent,rule:texture,玫瑰茄|洛神葵|落濟
肉質葉片,4,leaf_texture,succulent,strip:肉質,長壽花|露西那秋海棠|落地生根
背面絨毛,4,,,UNMAPPED,山油麻|山黃麻|異色山黃麻
膜質蓇葖果,4,,,UNMAPPED,松村氏野茉莉|青桐|梧桐
芳香花朵,4,,,UNMAPPED,紫藤|香龍血樹|夾竹桃
苞刺,4,,,UNMAPPED,反刺櫧|淋樆柯|甜櫧
莖光滑常具紅色斑點,4,,,UNMAPPED,"腺花毛蓼|散血丹(玉山蓼, 鹿蹄草)|箭葉蓼"
菱形堅果,4,,,UNMAPPED,合斗石櫟|紅肉杜|菱果石櫟
菱狀長橢圓形,4,,,UNMAPPED,白樹|烏皮九芎|烏雞母
葉形多樣,4,,,UNMAPPED,臺灣杞李梫|臺灣樹參|蛤蟆秋海棠
葉形為卵披針形,4,,,UNMAPPED,毛扭粗苔|東亞岩生黑苔|絲帶苔
葉狀苞片,4,,,UNMAPPED,九重葛|毛寶巾|菲律賓石梓
葉細胞線形且平滑,4,,,UNMAPPED,安藤氏平梳苔|大灰苔|異貓尾苔
葉緣全緣,4,leaf_margin,entire,rule:margin,柱蒴立膜苔|台灣濱藜|單脈二藥藻
蒴果開裂,4,,,UNMAPPED,木棉|斑芝棉|攀枝花
蒴齒數量為16枚,4,,,UNMAPPED,包氏白髮苔|庭園白髮苔|小笠原白髮苔
蔓生藤本,4,,,UNMAPPED,九重葛|非洲茉莉|鵝掌藤
薄革質葉,4,leaf_texture,coriaceous,rule:texture,山柿|流蘇樹|烏材柿
藍紫色花,4,,,UNMAPPED,巴西紫葳|夜香花|紫花山螞蝗
蜜漕,4,,,UNMAPPED,刺桐|梯枯|黃脈刺桐
蜿蜒枝條,4,,,UNMAPPED,望山棵|麥氏嘉賜樹|臺灣嘉賜樹
螺旋狀扭曲莢果,4,,,UNMAPPED,牛蹄豆|金龜樹|甜肉圍涎樹
螺旋狀花冠,4,,,UNMAPPED,大紅袍|南美朱槿|捲瓣朱槿
裂葉緣,4,leaf_margin,lobed,rule:margin,菊花木|黃毛榕|臺灣茶藨子
褐色毛,4,,,UNMAPPED,那拔|密毛假黃楊|黃背櫟
覆瓦狀對生,4,leaf_arrangement,opposite,contains:對生,松梧|松蘿|紅檜
近卵形葉,4,,,UNMAPPED,九龍藤|大葉溲疏|高山八角
近球形果實,4,fruit_shape,globose,rule:fruit,胡枝子|風鼓|臺灣八角金盤
造林樹種,4,,,UNMAPPED,孔雀杉|福州杉|孔雀杉
適應性強,4,,,UNMAPPED,絹柏|銀樺|珊瑚藤
酸味果實,4,,,UNMAPPED,刺籬木|烏飯樹|酸果樹
重鋸齒緣葉緣,4,leaf_margin,serrate,rule:margin,刺莓|高山懸鉤子|單花懸鉤子
金黃色花冠,4,,,UNMAPPED,小花黃蟬|玉葉金花|粉萼花
鈍形,4,,,UNMAPPED,止宮樹|仙丹花|帝汶異木患
鈍頭心基,4,,,UNMAPPED,老荊藤|紫藤|過山龍
銳形先端,4,,,UNMAPPED,水雞油|早田氏柃木|粉葛
銳楔形基部,4,leaf_base,cuneate,rule:base,大葉桑寄生|細葉赤血仔|細葉饅頭果
銹褐色毛,4,,,UNMAPPED,大野牡丹|褐鱗木|鏽葉野牡丹
鏽色毛,4,,,UNMAPPED,大實肉豆蔻|毛柿|臺灣肉豆蔻
長卵形葉片,4,,,UNMAPPED,拔子雞油|雲南黃素馨|櫸樹
長圓筒形果實,4,,,UNMAPPED,玉山灰木|竹山灰木|竹山灰木
長尾狀漸尖葉端,4,,,UNMAPPED,小紅栲|米櫧|長尾尖櫧
長柄,4,,,UNMAPPED,大號飯芮樹|山刈葉|樹
長橢圓形蒴果,4,fruit_shape,ellipsoid,rule:fruit,紅椿|椿芽|臺灣杜鵑
長橢圓狀倒卵形,4,,,UNMAPPED,天寶花|李仔|越橘葉蔓榕
長橢圓狀倒卵形葉,4,,,UNMAPPED,山馬茶|早田氏木薑子|屏東木薑子
長橢圓狀卵形葉,4,,,UNMAPPED,桃仁|腺葉桂櫻|錫蘭玉心花
長橢圓狀披針形小葉,4,,,UNMAPPED,大野百合|光萼野百合|南美豬屎豆
長節間,4,,,UNMAPPED,肖楠|長枝竹|桶仔竹
長絨毛,4,,,UNMAPPED,立鷹野薔薇|能高薔薇|野牡丹
長雄蕊,4,,,UNMAPPED,大青|路邊青|滿天星
闊橢圓形,4,,,UNMAPPED,牛鬃刺|雀梅藤|對角刺
防風,4,,,UNMAPPED,三春柳|木麻黃|華北檉柳
降真香鹼,4,,,UNMAPPED,山油柑|山柑|石苓舅
陽性,4,,,UNMAPPED,川上氏土沈香|克蘭樹|赤血仔
雌雄異花,4,,,UNMAPPED,台東漆|五爪木|紫錦木
離基三出脈,4,,,UNMAPPED,油樟|芳樟|鳥樟
離生心皮,4,,,UNMAPPED,山馬蹄|革葉山馬茶|酸藤
離生雄蕊,4,,,UNMAPPED,串錢柳|南洋櫻|南美櫻
雲形剝落痕,4,,,UNMAPPED,白雞油|光臘樹|櫸樹
雲片狀剝落,4,,,UNMAPPED,木耳樹|紅雞油|瓊楠
鞘齒,4,,,UNMAPPED,木麻黃|木賊葉木麻黃|長葉木麻黃
頂生圓錐花序,4,,,UNMAPPED,女貞木|檬果|癲婆花
風鈴狀花,4,,,UNMAPPED,吊燈扶桑|吊燈花|裂瓣朱槿
香氣,4,,,UNMAPPED,越椒|刺蔥|香水蓮花
高杯形花,4,,,UNMAPPED,大花假虎刺|卡利撒|錦蘭
高腳杯狀花冠,4,,,UNMAPPED,川滇茉莉|北清香藤|仙丹花
黃色管狀花,4,,,UNMAPPED,雛菊|馬蘭花|大花咸豐草
黃色蒴果,4,,,UNMAPPED,七里香|南蛇藤|臺灣海桐
黑熟果實,4,,,UNMAPPED,小葉赤楠|小號犁頭樹|山烏珠
2針一束,3,,,UNMAPPED,松柏|松蘿|馬尾松
一二年生草本,3,,,UNMAPPED,松葉菊|蜀葵|錦葵
一年生草本植物,3,,,UNMAPPED,虞美人|臭薺|獨行菜
三裂葉,3,leaf_margin,lobed,rule:margin,山苺|楓樹|變葉懸鉤子
三裂葉緣,3,leaf_margin,lobed,rule:margin,小葛藤|毛萼懸鉤子|懸鉤子
三角形果實,3,,,UNMAPPED,古古椰子|椰瓢|玉如意
三角形葉形,3,,,UNMAPPED,坭竹|莿竹|鬱竹
三角狀圓形果鱗,3,,,UNMAPPED,香杉|烏杉|巒大杉
三角狀披針形裂片,3,,,UNMAPPED,中原氏掌葉槭|青皮楓|青楓
下垂毬果,3,,,UNMAPPED,松柏|松蘿|馬尾松
下垂花,3,,,UNMAPPED,枇杷葉灰木|猢麵包樹|猢猻木
不孕性花,3,,,UNMAPPED,合軸莢迷|假繡球|臺灣蝴蝶戲珠花
不明顯鋸齒緣,3,leaf_margin,serrate,rule:margin,小葉欖仁樹|大芽南蛇藤|大芽南蛇藤
不開裂莢果,3,,,UNMAPPED,九重吹|牛角花|老荊藤
中性花,3,,,UNMAPPED,草繡球|圓葉鑽地風|臺灣草本紫陽花
中肋與側脈交錯,3,,,UNMAPPED,油葉石櫟|油葉杜仔|細葉杜仔
中高海拔,3,,,UNMAPPED,南方紅豆杉|紅柴|食用土當歸
中高海拔分布,3,,,UNMAPPED,臺灣土當歸|臺灣土當歸|臺灣羊桃
乳汁有毒,3,,,UNMAPPED,小花黃蟬|非洲紅|紫錦木
乳汁豐沛,3,,,UNMAPPED,大冇樹|牛乳樹|豬母乳
乳液,3,,,UNMAPPED,巴西橡皮|巴西橡膠樹|橡膠樹
乳頭狀凸起,3,,,UNMAPPED,牛尾杉|油杉|臺灣油杉
二叉蝎尾狀花序,3,,,UNMAPPED,水草|白水木|白水草
二唇形花冠,3,,,UNMAPPED,巴西紫葳|海埔姜|藍花楹
互生/三出複葉,3,leaf_arrangement,alternate,contains:互生,狐狸尾|狸尾豆|貓尾草
互生羽狀複葉,3,leaf_arrangement,alternate,contains:互生,黃連木|無患子|黃槐
五條縱脈,3,,,UNMAPPED,洋桂花|相思仔|相思樹
五稜角小枝,3,,,UNMAPPED,杜仔|東南石櫟|短尾尾石櫟
五裂花冠先端,3,,,UNMAPPED,立鶴花|龍吐珠|康復力
五齒萼片,3,,,UNMAPPED,大野牡丹|鴨腳木|鏽葉野牡丹
亞繖形花序,3,inflorescence,umbel,rule:infl,小葉樹杞|雨傘仔|羅傘樹
交替落葉,3,,,UNMAPPED,交讓木|臺灣虎皮楠|膜葉虎皮楠
伐木跡地,3,,,UNMAPPED,冇拱|冇拱|冇拱
低海拔濕地,3,,,UNMAPPED,四脈苧麻|蘭嶼水絲麻|蘭嶼裡白苧麻
低矮植株,3,,,UNMAPPED,藍眼菊|天章|玉龍草
佛教神聖樹,3,,,UNMAPPED,思維樹|畢缽羅樹|菩提樹
佛燄狀萼唇,3,,,UNMAPPED,白花羊蹄甲|洋紫荊|馬蹄豆
佛燄苞,3,,,UNMAPPED,粗肋草|蓬萊蕉|裂葉蔓綠絨
倒伏毛,3,,,UNMAPPED,白礬|灰木|華山礬
倒卵形果實,3,leaf_shape,obovate,strip:倒卵形,希蘭灰木|黃連木|爛心木
倒卵狀披針形,3,,,UNMAPPED,茶樹|霧社木薑子|霧社黃肉楠
倒卵狀披針形葉,3,,,UNMAPPED,小泉氏灰木|金楠|臺灣厚距花
倒卵狀橢圓形花瓣,3,,,UNMAPPED,知本懸鉤子|森氏懸鉤子|鱗萼懸鉤子
倒卵狀長橢圓形葉,3,,,UNMAPPED,佛手|佛手柑|紅校欑
倒卵狀長橢圓形葉片,3,,,UNMAPPED,五指柑|五指香櫞|假綠豆
假種皮可食,3,,,UNMAPPED,牛蹄豆|臺東龍眼|錦龜樹
側脈凸起,3,,,UNMAPPED,仙桃|仙桃|仙桃
側脈密集平行,3,,,UNMAPPED,紅厚殼|胡桐|瓊崖海棠
側脈網狀,3,,,UNMAPPED,三斗石櫟|赤皮杜仔|阿里山紅肉杜
傘形樹冠,3,,,UNMAPPED,掌葉蘋婆|裂葉蘋婆|刺桐
先端尖銳,3,,,UNMAPPED,印度紫檀|臺灣海棗|楓港柿
先端銳,3,,,UNMAPPED,白丁花|白馬骨|路邊金
光滑,3,surface_hair,glabrous,direct,厚葉柃木|高灣高山柃|觀音棕竹
全株光滑無毛,3,,,UNMAPPED,大羅傘|臺灣白薇|掃帚菊
全株被柔毛,3,,,UNMAPPED,天人菊|短角苦瓜|鹿藿
全緣/波狀緣葉,3,leaf_margin,entire,rule:margin,安南漆|含笑|馬纓丹
全緣或三淺裂葉緣,3,leaf_margin,entire,rule:margin,白匏仔|白葉仔|直角莢迷
全緣或微鋸齒緣,3,leaf_margin,entire,rule:margin,血桐|面頭果|橙欄
全緣或淺齒緣,3,leaf_margin,entire,rule:margin,牡荊|埔姜仔|黃荊
具乳狀汁液,3,,,UNMAPPED,桑科 (林志忠著)|桑科 (林志忠著)|大冇榕
具有匍匐莖,3,,,UNMAPPED,大萍 (大蓮、大蕊萍、水芙蓉、大薸)|大苦草|伏莖紫蓳
冬季落葉,3,,,UNMAPPED,紫藤|貓柳|小葉欖仁
凹入葉脈,3,,,UNMAPPED,老鼠矢|枇杷葉灰木|波斯紅草
刀刃狀果苞,3,,,UNMAPPED,川上氏鵝耳櫪|阿里山鵝耳櫪|雞油舅
切花材料,3,,,UNMAPPED,貝殼花|飛燕草|深山櫻
切花用途,3,,,UNMAPPED,滿天星|百合水仙|羽扇豆
刺狀莖,3,,,UNMAPPED,印度羅旦梅|刺籬木|南美紫茉莉
刺狀齒緣,3,,,UNMAPPED,阿里山十大功勞|翠峰十大功勞|蘆薈
副花冠鱗片,3,,,UNMAPPED,白首烏|耳葉牛皮消|薄葉牛皮消
劍刀狀小葉,3,,,UNMAPPED,南洋楹|麻六甲合歡|摩鹿加合歡
劍形葉,3,,,UNMAPPED,番仔林投|五彩鳳梨|燕子花
卵圓形毬果,3,,,UNMAPPED,香杉|烏杉|巒大杉
卵形子房,3,,,UNMAPPED,木薯|尖葉柃木|銳葉柃木
卵形毬果,3,fruit_shape,ovoid,rule:fruit,松柏|馬尾松|華山松
卵形至闊卵形葉,3,,,UNMAPPED,粗毛小米菊|虎杖|毛酸漿
卵形萼片,3,,,UNMAPPED,多果獼猴桃|東瀛珊瑚|紅頭嶼鐵莧
卵狀三角形果實,3,,,UNMAPPED,毛萼懸鉤子|懸鉤子|變葉懸鉤子
卵狀心形,3,,,UNMAPPED,紅頭蘋婆|臺灣蘋婆|蘭嶼蘋婆
卵狀披針形葉片,3,,,UNMAPPED,雲南黃素馨|厚距花|厚距花
卵狀橢圓形果實,3,fruit_shape,ellipsoid,rule:fruit,大實肉豆蔻|卵果肉豆蔻|臺灣肉豆蔻
厚果皮,3,,,UNMAPPED,虎頭柑|洋檸檬|檸檬
厚樹皮,3,,,UNMAPPED,厚殼仔|黃檜|臺灣扁柏
厚皮紙質葉,3,leaf_texture,papery,rule:texture,米飯花|長尾葉越橘|烏飯樹
厚肉質葉,3,leaf_texture,succulent,rule:texture,玉蝶梅|櫻蘭|蜘蛛百合
反捲緣,3,,,UNMAPPED,鳳尾蕉|避火樹|蘇鐵
反捲葉,3,,,UNMAPPED,凹葉巖桃|老鼠連枝|高山莢迷
叢生莖幹,3,leaf_arrangement,basal,contains:叢生,棕竹|筋頭竹|鳳尾竹
叢生葉,3,leaf_arrangement,basal,strip:叢生,蕘花葉灰木|鐵仔|百子蓮
台灣特產,3,,,UNMAPPED,土肉桂|水雞油|臺灣榆
唇形苞片,3,,,UNMAPPED,長葉垂榕|麥克榕|黃果勁直榕
喇叭形花,3,,,UNMAPPED,馨葳|紅花牽牛|洋凌霄花
單生毬果,3,,,UNMAPPED,牛尾杉|油杉|臺灣油杉
單花,3,,,UNMAPPED,昔來薩樹|香梅|勒李
單葉互生托葉早落,3,leaf_arrangement,alternate,contains:互生,楊柳科|樺木科|楊柳科
四方形莖,3,,,UNMAPPED,四角竹|大花咸豐草|羅勒
四深裂花冠,3,,,UNMAPPED,四月雪|深瓣女貞|鐵樹
四稜枝,3,,,UNMAPPED,大葉黃楊|冬青衛矛|正木
四聯葉序,3,,,UNMAPPED,肖楠|黃肉仔|臺灣肖楠
圓形/橢圓形葉片,3,,,UNMAPPED,狸尾豆|貓尾草|葉牡丹
圓形果實,3,leaf_shape,orbicular,strip:圓形,孔雀椰子|印度酒椰子|瓊崖海棠
圓狀心形,3,,,UNMAPPED,羽萼懸鉤子|革葉懸鉤子|新店懸鉤子
圓球花序,3,,,UNMAPPED,洋桂花|相思仔|相思樹
圓筒形果實,3,,,UNMAPPED,山茶葉灰木|白埔姜|海棗
圓錐橢圓形堅果,3,fruit_shape,ellipsoid,rule:fruit,長果青剛|稠子|錐果櫟
圓錐狀球形堅果,3,fruit_shape,globose,rule:fruit,杜仔|東南石櫟|短尾尾石櫟
圓錐狀總狀花序,3,,,UNMAPPED,玉山灰木|竹山灰木|竹山灰木
圓錐狀繖形花序,3,inflorescence,umbel,rule:infl,八角金盤|臺灣八角金盤|臺灣八角金盤
基脈明顯,3,,,UNMAPPED,小西氏榕|夜關門|幹花榕
基部圓形,3,leaf_base,rounded,rule:base,木臘樹|宜蘭懸鉤子|長毛紫珠
基部圓鈍,3,,,UNMAPPED,海島苧麻|臺灣苧麻|臺灣野苧麻
塊狀根莖,3,,,UNMAPPED,人心藥|草繡球|臺灣草本紫陽花
夏秋開花,3,,,UNMAPPED,麒麟花|巴西之吻|喜蔭花
多年生攀緣植物,3,,,UNMAPPED,落葵|佛手瓜|鵲豆
多年生球根花卉,3,,,UNMAPPED,百子蓮|金花石蒜|荷蘭鳶尾
多肉,3,,,UNMAPPED,劍麻|龍舌蘭|瓊麻
多肉質莖葉,3,leaf_texture,succulent,rule:texture,不死鳥|錦蝶|松葉景天
大型果實,3,,,UNMAPPED,波羅蜜|臘腸樹|第倫桃
大戟花序,3,,,UNMAPPED,猩猩草|白苞猩猩草|假紫斑大戟
子房下位,3,,,UNMAPPED,大枝掛繡球|白馬桑|全綠葉繡球
子房被毛,3,,,UNMAPPED,竹山灰木|森氏柳|臺東柳
宿存果托,3,,,UNMAPPED,大葉釣樟|俄氏釣樟|黑殼楠
宿存萼齒,3,,,UNMAPPED,華八角楓|華八角楓|華八角楓
寬卵形小葉,3,,,UNMAPPED,大眼藍|黃野百合|豬屎豆
寬卵形葉,3,,,UNMAPPED,烏刺仔|馬甲子|山煙草
寬楔基,3,,,UNMAPPED,山毛豆花|波葉山螞蝗|滿鼎草
小型草本植物,3,,,UNMAPPED,盤腺蓼|元寶草|元寶草
小果,3,,,UNMAPPED,火索藤|恆春哥納香|臺灣哥納香
小果實,3,,,UNMAPPED,東京漆|藤崖椒|鐵仔
小枝光滑,3,,,UNMAPPED,武威新木薑子|大武新木薑子|厚皮香屬
小溝紋,3,,,UNMAPPED,太陽麻|印度麻|菽麻
小牙齒緣,3,,,UNMAPPED,帚序苧麻|金石榴|長葉苧麻
小葉對生,3,leaf_arrangement,opposite,contains:對生,七葉蓮|桄榔|臺灣海棗
小葉長橢圓形,3,,,UNMAPPED,小葉山菉豆|南洋土豆|美洲含羞草
尖芒,3,,,UNMAPPED,牛鬃刺|雀梅藤|對角刺
尾狀漸尖葉先端,3,,,UNMAPPED,臺灣山茶|臺灣山茶|臺灣山茶
屬於樟科,3,,,UNMAPPED,土樟|台灣雅楠|毛果柃木
屬於殼斗科,3,,,UNMAPPED,大葉石櫟|赤皮|錐果櫟
屬於無花果屬,3,,,UNMAPPED,天仙果|白肉榕|黃果豬母乳
屬於金絲桃屬Hypericum,3,,,UNMAPPED,台灣金絲桃|能高金絲桃|無柄金絲桃
屬於黃蓳屬植物,3,,,UNMAPPED,密花黃蓳|疏花黃蓳|彎果黃蓳
常見於台灣中南部山區,3,,,UNMAPPED,長梗盤花麻|尾葉山茶|台灣金絲桃
幹基膨大,3,,,UNMAPPED,枇杷葉灰木|酒瓶蘭|猢麵包樹
幹皮剝落,3,,,UNMAPPED,川上氏櫧|吊皮栲|赤校
幹皮縱向深裂縫,3,,,UNMAPPED,川上氏鵝耳櫪|阿里山鵝耳櫪|雞油舅
庇蔭樹,3,,,UNMAPPED,南洋櫻|盾柱木|番龍眼
廣三角形萼片,3,,,UNMAPPED,佐佐木灰木|蝦尾|臺灣石楠
廣披針形葉形,3,,,UNMAPPED,孝順竹|掃把竹|觀音竹
廣鐘形花冠,3,,,UNMAPPED,川上杜鵑|著生杜鵑|君子蘭
建築用材,3,,,UNMAPPED,烏皮茶|榻捷木|臺灣賽楠
待定,3,,,UNMAPPED,鵝掌藤|鵝掌藤|鵝掌藤
微凸尖狀鋸齒緣,3,leaf_margin,serrate,rule:margin,野鴉椿|鳥腱花|雞腎果
心基,3,,,UNMAPPED,大同灰葉懸鉤子|灰葉懸鉤子|野鴉椿
心臟形葉形,3,,,UNMAPPED,千年桐|廣東油桐|皺桐
念珠狀果實,3,,,UNMAPPED,蘭嶼念珠藤|蘭嶼阿利藤|蘭嶼鏈珠藤
懸垂花序,3,,,UNMAPPED,風鈴扶桑|番茉莉|燈仔花
截狀花萼,3,,,UNMAPPED,恆春黃槿|截萼黃槿|繖楊
扁圓形種子,3,,,UNMAPPED,恆春木蘭|恆春厚朴|烏心石舅
托葉,3,,,UNMAPPED,苦懸鉤子|華參|華參
披針狀長橢圓形葉,3,,,UNMAPPED,尖梅花|臺灣杜鵑|櫧葉石櫟
指狀果實,3,,,UNMAPPED,五指柑|五指香櫞|佛手柑
揉搓發臭,3,,,UNMAPPED,白丁花|白馬骨|路邊金
斑紋葉面,3,,,UNMAPPED,千年木|朱竹|朱蕉
斜披針形,3,,,UNMAPPED,山黃皮|番仔香草|過山香
旋轉脫落,3,,,UNMAPPED,牛牽藤|風車藤|風箏果
旗瓣內曲,3,,,UNMAPPED,珊瑚刺桐|象牙紅|龍牙花
星柔毛,3,,,UNMAPPED,西印度櫻桃|昔來薩樹|勒李
星芒狀,3,,,UNMAPPED,五斂子|羊桃|楊桃
晚香性,3,,,UNMAPPED,打破碗花|曼陀羅|萬桃花
有毒植物,3,,,UNMAPPED,夾竹桃|紅花夾竹桃|荷蘭鳶尾
有翅種子,3,,,UNMAPPED,九芎|白埔姜|駁骨丹
木質堅果,3,,,UNMAPPED,大白葉仔|銀木麻黃|銀葉樹
果實為肉質漿果,3,leaf_texture,succulent,rule:texture,山柑屬|商陸科|蘭嶼山柑
枝髓部有膈,3,,,UNMAPPED,紅莖獼猴桃|腺齒獼猴桃|四萼獼猴桃
染料植物,3,,,UNMAPPED,芙蓉蘭|絨毛芙蓉蘭|絨毛藍葉藤
柔毛背面,3,,,UNMAPPED,佛竹|佛肚竹|葫蘆竹
柔毛莢果,3,,,UNMAPPED,一條根|千斤拔|大葉千金拔
柱頭2,3,,,UNMAPPED,彎形藺|莞(大水莞)
核果狀果實,3,,,UNMAPPED,光桐|油桐|桐子樹
條裂狀假種皮,3,,,UNMAPPED,大實肉豆蔻|卵果肉豆蔻|臺灣肉豆蔻
棘狀莖,3,,,UNMAPPED,狗腳蹄|花麒麟|萬年刺
植物體呈深綠色,3,,,UNMAPPED,圓葉美喙苔|毛尖卷柏苔|斜枝長喙苔
植物體呈長匍匐狀,3,,,UNMAPPED,大灰苔|小蔓苔|扁平棉苔
楔形葉基部,3,leaf_base,cuneate,rule:base,幼葉樟|黃花夾竹桃|橉木稠李
榕果叢生,3,leaf_arrangement,basal,contains:叢生,小西氏榕|夜關門|幹花榕
樹液豐富,3,,,UNMAPPED,思仔|烏來柯|淋漓
樹皮剝落,3,,,UNMAPPED,火燒柯|紅背櫧|栲樹
樹脂溝,3,,,UNMAPPED,松柏|馬尾松|華山松
樹脂腺體,3,,,UNMAPPED,楊梅|椴梅|樹梅
樹脂點,3,,,UNMAPPED,川上氏鵝耳櫪|阿里山鵝耳櫪|雞油舅
橘紅色花,3,,,UNMAPPED,木棉|斑芝棉|蝴蝶之舞
橘黃色果實,3,,,UNMAPPED,革葉山馬茶|蘭嶼山馬茶|大芽南蛇藤
橢圓形花瓣,3,,,UNMAPPED,吉貝|薔薇懸鉤子|欖李
橢圓狀卵形葉形,3,,,UNMAPPED,大紅袍|青脆枝|南美朱槿
橢圓狀卵球形果實,3,fruit_shape,globose,rule:fruit,大葉榿寄生|椆寄生|椆樹桑寄生
橢圓狀長橢圓形,3,,,UNMAPPED,板栗|栗子|福建假衛矛
歧繖花序,3,,,UNMAPPED,松葉景天|乙女心|雪花木
歪斜基部,3,,,UNMAPPED,水雞油|阿里山榆|斜基粗葉木
歪橢圓形小葉,3,,,UNMAPPED,大葉合歡|印度合歡|緬甸合歡
毒性,3,,,UNMAPPED,天寶花|紅珠子|蓖麻
毛絨子房,3,,,UNMAPPED,水梨藤|阿里山彌猴桃|硬齒彌猴桃
毛茸子房,3,,,UNMAPPED,毛柱杜鵑|油茶|埔里杜鵑
毛葉,3,,,UNMAPPED,長枝竹|野牡丹|鹿仔樹
油料植物,3,,,UNMAPPED,三年桐|桐子樹|桐油樹
沿海植物,3,,,UNMAPPED,七里香|黃槿|鹽水面頭果
波狀緣/鈍齒緣,3,leaf_margin,wavy,rule:margin,百日紅|茱萸|臺北玉葉金花
波狀背縫線,3,leaf_margin,wavy,rule:margin,狗尾花|柏民小槐花|稗豆
海岸林,3,,,UNMAPPED,恆春黃槿|截萼黃槿|繖楊
淡紅色花朵,3,,,UNMAPPED,白丁花|白馬骨|路邊金
淡綠色花,3,,,UNMAPPED,栗寄生|清飯藤|臺灣紫丹
淡綠黃色花,3,,,UNMAPPED,大葉合歡|印度合歡|緬甸合歡
淡黃色木材,3,,,UNMAPPED,望山棵|臺灣嘉賜樹|薄葉嘉賜樹
淡黃色花朵,3,,,UNMAPPED,樹蘭|素心蘭|蔓性冷水花
深紅色總梗,3,,,UNMAPPED,香楠|瑞芳楠|霧社楨楠
深紅色花絲,3,,,UNMAPPED,白絨球|紅絨球|美洲合歡
深綠色葉面,3,,,UNMAPPED,珊瑚樹|翡翠寶石|玉如意
深裂葉形,3,leaf_margin,lobed,rule:margin,山茄|玫瑰茄|落濟
淺根性,3,,,UNMAPPED,金鳳|粉葉決明|黃槐
淺皿狀殼斗,3,,,UNMAPPED,合斗石櫟|紅肉杜|菱果石櫟
溝紋,3,,,UNMAPPED,柿|柿仔|猴歡喜
溝裂,3,,,UNMAPPED,油樟|芳樟|樟樹
滑澤果皮,3,,,UNMAPPED,玉蕊|細葉棋盤腳樹|穗花棋盤腳樹
漸尖,3,,,UNMAPPED,交讓木|宜蘭懸鉤子|狗骨柴
漸尖端,3,,,UNMAPPED,油椰子|狗骨仔|菱果石櫟
漸尖葉端,3,,,UNMAPPED,高山新木薑子|漸尖葉新木薑子|臺灣肉桂
漸狹基部,3,,,UNMAPPED,山大刀|昆士蘭山龍眼|澳洲胡桃
